2DPathTrajectory
x	y
1.02656	-0.453409
1.02656	-0.453407
1.02656	-0.453407
1.02656	-0.45341
1.02655	-0.45342
1.02655	-0.453419
1.02655	-0.453418
1.02654	-0.453421
1.02654	-0.453425
1.02654	-0.453432
1.02654	-0.453429
1.02653	-0.453437
1.02653	-0.45344
1.02653	-0.453444
1.02653	-0.453443
1.02653	-0.453447
1.02653	-0.453451
1.02653	-0.453456
1.02652	-0.453457
1.02652	-0.45346
1.02652	-0.453465
1.02652	-0.453474
1.02651	-0.453477
1.02651	-0.453479
1.02651	-0.453481
1.02651	-0.453483
1.02651	-0.453485
1.02651	-0.453487
1.02651	-0.453492
1.02651	-0.453494
1.0265	-0.453491
1.0265	-0.453505
1.0265	-0.453502
1.02649	-0.453511
1.02649	-0.453513
1.02649	-0.453516
1.02649	-0.453521
1.02649	-0.453524
1.02722	-0.45328
1.0293	-0.453802
1.02899	-0.45359
1.02904	-0.45363
1.02904	-0.453625
1.02904	-0.45363
1.02904	-0.453635
1.02904	-0.453636
1.02903	-0.453637
1.02903	-0.453643
1.02903	-0.453649
1.02903	-0.453653
1.02903	-0.453655
1.02903	-0.45366
1.02903	-0.453662
1.02903	-0.453667
1.02902	-0.453676
1.02902	-0.453675
1.02902	-0.453675
1.02902	-0.453676
1.02902	-0.453677
1.02902	-0.453682
1.02902	-0.453687
1.02902	-0.453689
1.02902	-0.453692
1.02902	-0.453696
1.02902	-0.453698
1.02902	-0.453695
1.02902	-0.453701
1.02901	-0.453704
1.02901	-0.45371
1.02901	-0.453714
1.02901	-0.45372
1.02901	-0.453722
1.02901	-0.453731
1.02901	-0.453731
1.029	-0.453735
1.029	-0.453742
1.029	-0.453744
1.029	-0.453747
1.029	-0.453748
1.029	-0.453753
1.029	-0.453764
1.029	-0.453755
1.029	-0.453761
1.029	-0.453765
1.02899	-0.453774
1.02899	-0.453774
1.02899	-0.453779
1.02899	-0.453786
1.02899	-0.453787
1.02899	-0.453791
1.02899	-0.453798
1.02898	-0.453804
1.02898	-0.453808
1.02898	-0.453812
1.02898	-0.453814
1.02898	-0.453819
1.02898	-0.453818
1.02898	-0.453828
1.02898	-0.453827
1.02897	-0.453828
1.02897	-0.45383
1.02897	-0.453838
1.02897	-0.453841
1.02897	-0.45384
1.02897	-0.453844
1.02897	-0.453851
1.02897	-0.453854
1.02896	-0.453859
1.02896	-0.453859
1.02896	-0.453865
1.02896	-0.453863
1.02896	-0.453863
1.02896	-0.453871
1.02896	-0.453876
1.02896	-0.45388
1.02896	-0.453877
1.02895	-0.453886
1.02895	-0.45389
1.02895	-0.453889
1.02895	-0.453891
1.02895	-0.453894
1.02895	-0.453905
1.02895	-0.453907
1.02895	-0.453908
1.02895	-0.453913
1.02894	-0.453919
1.02894	-0.453918
1.02894	-0.453921
1.02894	-0.453934
1.02894	-0.453933
1.02894	-0.453934
1.02894	-0.453937
1.02894	-0.453937
1.02894	-0.453942
1.02894	-0.453944
1.02894	-0.453944
1.02893	-0.453954
1.02893	-0.453959
1.02893	-0.453969
1.02893	-0.453973
1.02893	-0.45398
1.02893	-0.453984
1.02831	-0.454164
1.00191	-0.467732
0.964411	-0.457102
0.936816	-0.451389
0.938186	-0.451598
0.938036	-0.4516
0.938036	-0.451606
0.938038	-0.451614
0.938043	-0.451629
0.938041	-0.451632
0.93804	-0.451632
0.938041	-0.451637
0.938039	-0.451637
0.938039	-0.451638
0.938041	-0.451646
0.938041	-0.45165
0.938039	-0.45165
0.938039	-0.451651
0.938039	-0.451655
0.938042	-0.451661
0.93804	-0.451661
0.93804	-0.451663
0.93804	-0.451665
0.938039	-0.451664
0.938041	-0.451671
0.93804	-0.451671
0.938041	-0.451676
